Name,Type,Address,Phone,Email,Website,Area,Notes
Wild Garden Cafe (Amethyst),Cafe,"Whites Road, Next to Corporation Bank, Royapettah, Chennai - 600014","+91 44 4599 1633 / +91 44 4599 1634",,https://amethystchennai.com,Royapettah,"Lush garden setting, large veranda, hosts art shows & events (The Folly space), ideal for creative workshops"
Chamiers Cafe,Cafe,"106, Chamiers Road, Opposite Adyar Park Gate, RA Puram, Chennai - 600028","+91 44 4203 0734",,https://chamierscafe.com,RA Puram,"Quiet elegant ambiance, private areas available, British-vintage style, good for small group workshops"
The Brew Room,Cafe,"The Savera Hotel, 146, Dr. Radhakrishnan Road (RK Salai), Mylapore, Chennai - 600004","+91 44 2811 4700",[email protected],https://saverahotel.com,Mylapore,"Garden seating, cozy artistic setting, part of Savera Hotel, good for small group sessions"
Ciclo Cafe,Cafe,"33/47, Gandhi Mandapam Road, Chitra Nagar, Kotturpuram, Chennai - 600085","+91 44 4204 8666",,N/A,Kotturpuram,"Spacious layout, cycling-themed, hosts events and group meetups, large indoor & outdoor space"
Writer's Cafe (Higginbothams),Cafe,"#127, Peters Road, Gopalapuram, Chennai - 600086",N/A,,N/A,Gopalapuram,"Bookstore-cafe hybrid, hosts literary workshops & talks, community-oriented, good for creative workshops"
Cafe de Paris,Cafe,"24, Cenotaph Road, Teynampet, Chennai - 600018","+91 98848 15553",,N/A,Teynampet,"Indoor & outdoor seating, French-themed, good ambiance for small workshops and group sessions"
Kipling Cafe,Cafe,"16, L Jey Avenue, East Coast Road, Akkarai, Panaiyur, Chennai - 600119","+91 73052 20330",pramodmishra.fp@hotmail.com,N/A,ECR / Akkarai,"Beachside setting, outdoor space, good for relaxed creative workshops"
Tryst Cafe,Cafe,"4/359, Gatsby Village, East Coast Road, Neelankarai, Chennai - 600041",N/A,,https://trystcafe.com,ECR / Neelankarai,"Beachside cafe, indoor & outdoor seating, large screen available, good for group events"
Azzuri Bay,Restaurant,"13, 1st Crescent Road, Gandhi Nagar, Adyar, Chennai - 600020","+91 44 4211 5253",,N/A,Adyar,"Rooftop setting, Italian cuisine, good for private group dining and workshops"
Sandy's Chocolate Laboratory,Cafe,"17A/10, 6th Main Road, RA Puram, Chennai - 600028",N/A,,N/A,RA Puram,"Cozy dessert cafe, minimalist decor, suitable for small intimate workshops"
Lloyds Tea House,Cafe,"179, Lloyds Road, Gopalapuram, Chennai - 600086",N/A,,N/A,Gopalapuram,"Tea-specialist cafe, quiet interiors, good for small group workshops and meetups"
L'amandier,Restaurant,"57, 2nd Main Road, RA Puram, Chennai - 600028","+91 44 3085 3590",,N/A,RA Puram,"Upscale French-style restaurant, sophisticated decor, high-speed internet, suitable for professional workshops"
That Madras Place,Cafe,"34/29, 2nd Main Road, Kasturibai Nagar, Adyar, Chennai - 600020",N/A,,N/A,Adyar,"Cozy European-style cafe, creative vibe, good for small craft and creative workshops"
