Name,Address,Area,Phone,Email,Website,Instagram,Notes
Amethyst Cafe (Wild Garden),Sundar Mahal / Whites Road Jeypore Colony Gopalapuram Chennai - 600086,Gopalapuram,+91 44 4599 1633,,amethystchennai.com,@amethystchennai,"Premium garden cafe, hosts art/cultural events, boutique space. HIGH PRIORITY"
Writer's Cafe (Higginbothams),"#127, Peters Road, Gopalapuram, Chennai - 600086",Gopalapuram,,thewritersroomchennai@gmail.com,thewritersroomchennai.in,@writerscafein,"Literary theme, vintage decor, social cause focus. Perfect for creative workshops"
Spaces / Synck,"No. 1, Elliots Beach Road, Besant Nagar, Chennai - 600090",Besant Nagar,+91 94237 26489,spacesmandapakalari@gmail.com,spacesmandapakalari.com,@synckchennai,"Iconic cultural venue by Besant Nagar beach, hosts theatre, art, community events. HIGH PRIORITY"
Ciclo Cafe,"33/47, Gandhi Mandapam Road, Chitra Nagar, Kotturpuram, Chennai - 600085",Kotturpuram,+91 44 4204 8666,,,@ciclocafe,"Cycling theme, 4 outlets, community-focused, spacious for events"
The Brew Room,"The Savera Hotel, 146, Dr. Radhakrishnan Road (RK Salai), Mylapore, Chennai - 600004",Mylapore,+91 44 2811 4700,brewroom@saverahotel.com,saverahotel.com,@thebrewroomchennai,"10+ years, coffee culture hub, garden seating, hosts events regularly"
Chamiers Cafe,"106, Chamiers Road, Opposite Adyar Park Gate, Raja Annamalai Puram, Chennai - 600028",RA Puram,+91 44 4203 0734,,chamierscafe.com,@chamierscafe,"Vintage British aesthetic, upscale clientele, good for small group workshops"
Mellow Garden Cafe,Nungambakkam Chennai - 600034,Nungambakkam,,,,,@mellowthebistro,"Botanical decor, lush open-air garden seating, tranquil ambiance, good for creative workshops"
Kipling Cafe,"16, L Jey Avenue, East Coast Road, Akkarai, Panaiyur, Chennai - 600119",ECR / Akkarai,+91 73052 20330,pramodmishra.fp@hotmail.com,,@kiplingcafe,"Outdoor dining, beachside setting, popular for events, scenic location"
Shiraz Art Cafe,"Blue Beach Road, Neelangarai, Chennai - 600041",ECR / Neelangarai,+91 98405 72126,,,@shirazcafe,"Art-focused Persian cafe, open-air seating, creative community, workshop-friendly"
The Board Game Lounge,"1st Floor, Sreela Terrace, No. 105, 1st Main Road, Gandhi Nagar, Adyar, Chennai - 600020",Adyar,+91 80729 06499,,,@the.boardgame.lounge,"Gaming + cafe, hosts events, creative crowd. Entry ₹300/person"
Azzuri Bay,"13, 1st Crescent Road, Gandhi Nagar, Adyar, Chennai - 600020",Adyar,+91 44 4211 5253,,,@azzuribay,"Rooftop setting, Italian cuisine, good for private group dining and workshops"
Tryst Cafe,"4/359, Gatsby Village, East Coast Road, Neelankarai, Chennai - 600041",ECR / Neelankarai,,,trystcafe.com,@trystcafe,"Beachside cafe, indoor & outdoor seating, cozy aesthetic interiors, good for group events"
